Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0133664812595575,-5.07580647006664E-11,0.504334048629493,0,0,0,5623.70261925949,1504.92873167937,6.28263899085449E-07,-100.79395439342,7946.38521961247,-7.12382411177824E-08,8460.84959033347,0,0,0,0,0,0,package://single-trailer-assembly/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/base_link.STL,,truck-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
b_front_left_linkage,2.01833247004402E-07,0.0866174322359835,0.114144894811921,0,0,0,4.04562727792635,0.140037164042004,5.57435821150625E-08,-2.08850902311321E-08,0.0827902917589038,0.0400096165626046,0.0604906292211793,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_left_linkage.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_left_linkage.STL,,steering linkage-2,Coordinate System2,Axis6,b_front_left_linkage_joint,revolute,1.46,0.3625,0,0,0,0,base_link,0,0,1,0,0,-0.5,0.5,,,,,,,,
b_front_left_wheel,0,0,0,0,0,0,74.1907633489725,2.08218966287404,-1.30089087994337E-17,5.1605164674113E-17,3.08830412900736,7.48293486257905E-18,2.08218966287404,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_left_wheel.STL,,tyre-2,Coordinate System4,Axis2,b_front_left_joint,revolute,0,0.2275,0,0,0,0,b_front_left_linkage,0,-1,0,0,0,0,0,,,,,,,,
b_front_right_linkage,-2.01833246116223E-07,-0.0866174322359831,0.114144894811923,0,0,0,4.04562727792644,0.140037164042006,5.57435820882623E-08,2.08850901566751E-08,0.0827902917589053,-0.0400096165626047,0.0604906292211793,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_right_linkage.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_right_linkage.STL,,steering linkage-3,Coordinate System3,Axis7,b_front_right_linkage_joint,revolute,1.46,-0.3625,0,0,0,0,base_link,0,0,1,0,0,-0.5,0.5,,,,,,,,
b_front_right_wheel,0,0,0,0,0,0,74.1907633489725,2.08218966287404,1.28145530038214E-18,-2.40294106238822E-16,3.08830412900736,-2.41880721526122E-18,2.08218966287404,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_right_wheel.STL,,tyre-4,Coordinate System5,Axis4,b_front_right_joint,revolute,0,-0.2275,0,0,0,0,b_front_right_linkage,0,-1,0,0,0,0,0,,,,,,,,
b_back_left_wheel,0,-1.11022302462516E-16,0,0,0,0,74.1907633489725,2.08218966287404,-3.48598814788576E-15,9.86076131526265E-32,3.08830412900736,-1.23785934175428E-30,2.08218966287404,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_back_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_back_left_wheel.STL,,tyre-1,Coordinate System6,Axis3,b_back_left_joint,revolute,-1.17,0.6125,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
b_back_right_wheel,0,1.11022302462516E-16,0,0,0,0,74.1907633489725,2.08218966287404,3.48598814788576E-15,9.86076131526265E-32,3.08830412900736,1.22529057414273E-30,2.08218966287404,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_back_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_back_right_wheel.STL,,tyre-3,Coordinate System7,Axis5,b_back_right_joint,revolute,-1.17,-0.6125,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
trailer,0.00442147901490841,-1.93479626032503E-16,0.0381335014738863,0,0,0,2461.70630024305,548.627112313706,-7.55825540790616E-14,1.90768805911008,1433.47760714364,3.45359653404504E-14,1743.78406934508,0,0,0,0,0,0,package://single-trailer-assembly/meshes/trailer.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/trailer.STL,,end-trailer-1,Coordinate System8,Axis1,trailer_joint,revolute,-4.5815,0,0.38996,0,0,0,base_link,0,0,-1,0,0,-1,1,,,,,,,,
t_front_left_wheel,0,0,1.11022302462516E-16,0,0,0,74.1907633489725,2.08218966287404,3.68854120901134E-17,-7.9244016524326E-32,3.08830412900736,-6.26636119034903E-17,2.08218966287404,0,0,0,0,0,0,package://single-trailer-assembly/meshes/t_front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/t_front_left_wheel.STL,,tyre-5,Coordinate System9,Axis9,t_front_left_joint,revolute,0.53575,0.6125,-0.38996,0,0,0,trailer,0,1,0,0,0,0,0,,,,,,,,
t_front_right_wheel,4.44089209850063E-16,0,0,0,0,0,74.1907633489725,2.08218966287404,-3.68854120901134E-17,-7.88853719605921E-32,3.08830412900736,-7.80658300851281E-17,2.08218966287404,0,0,0,0,0,0,package://single-trailer-assembly/meshes/t_front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/t_front_right_wheel.STL,,tyre-8,Coordinate System10,Axis11,t_front_right_joint,revolute,0.53575,-0.6125,-0.38996,0,0,0,trailer,0,1,0,0,0,0,0,,,,,,,,
